transaction_id,user_id,amount,timestamp,device_id,ip_address,is_fraud,hour,day_of_week,avg_amount,max_amount,total_transactions,distinct_devices,distinct_ips,risk_score,decision
txn_0,user_90,12.86,2026-04-14 09:45:35.117353,device_1289,59.251.126.70,0,9,1,77.34555555555556,178.64,9,9,9,0.0,approve
txn_1,user_1,74.34,2026-04-18 13:41:35.118075,device_2520,40.237.51.139,0,13,5,56.870000000000005,124.5,12,12,12,0.02,approve
txn_2,user_243,54.19,2026-04-25 21:15:35.118522,device_1440,232.240.142.163,0,21,5,70.66142857142857,534.65,14,14,14,0.03,approve
txn_3,user_751,56.74,2026-04-25 16:59:35.118936,device_1738,208.154.24.19,0,16,5,54.15875,95.49,8,8,8,0.06,approve
txn_4,user_405,36.25,2026-04-04 09:23:35.119385,device_727,185.79.144.221,0,9,5,36.08909090909091,183.84,11,11,11,0.1,approve
txn_5,user_64,121.31,2026-04-12 21:02:35.119762,device_1498,59.205.215.254,0,21,6,56.62625,121.31,8,8,8,0.07,approve
txn_6,user_798,18.63,2026-04-07 17:46:35.120166,device_2597,206.158.140.152,0,17,1,39.1425,112.68,8,8,8,0.0,approve
txn_7,user_402,16.11,2026-04-15 00:13:35.120541,device_952,205.36.153.201,0,0,2,102.979,340.46,10,10,10,0.02,approve
txn_8,user_44,55.52,2026-04-03 04:40:35.120908,device_1079,166.41.68.20,0,4,4,49.674285714285716,131.49,14,14,14,0.01,approve
txn_9,user_1,10.0,2026-04-21 23:50:35.121319,device_713,189.58.216.220,0,23,1,56.870000000000005,124.5,12,12,12,0.14,approve
txn_10,user_509,45.98,2026-04-22 12:17:35.121697,device_546,117.216.19.76,0,12,2,54.949999999999996,139.57,7,7,7,0.0,approve
txn_11,user_945,60.09,2026-03-30 04:43:35.122089,device_1130,131.147.137.4,1,4,0,80.48666666666666,232.12,15,15,15,0.68,review
txn_12,user_916,23.81,2026-04-26 13:29:35.122509,device_79,21.103.86.221,0,13,6,45.392222222222216,232.82,9,9,9,0.0,approve
txn_13,user_608,84.84,2026-04-21 22:09:35.122871,device_2021,236.114.164.244,0,22,1,64.39099999999999,130.32,10,10,10,0.01,approve
txn_14,user_42,14.9,2026-04-20 00:46:35.123270,device_115,17.240.33.70,0,0,0,72.62545454545455,233.77,11,11,11,0.03,approve
txn_15,user_549,19.38,2026-04-21 06:29:35.123715,device_964,99.62.141.234,0,6,1,71.53461538461538,315.59,13,13,13,0.01,approve
