transaction_id,user_id,amount,timestamp,device_id,ip_address,ip_country,ip_city,ip_region,ip_latitude,ip_longitude,is_fraud
txn_134,user_108,65.5,2026-04-20 07:57:05.892810 UTC,device_152,35.126.65.39,AU,Brisbane,Region_AU_1,26.0723,49.9541,0
txn_2434,user_108,12.9,2026-04-08 11:19:06.978327 UTC,device_2644,255.139.236.71,AU,Melbourne,Region_AU_1,78.9428,-67.4825,0
txn_7373,user_108,3.18,2026-04-27 20:21:08.855843 UTC,device_2469,244.17.108.1,AU,Melbourne,Region_AU_1,11.4707,-39.5622,0
txn_2143,user_11,103.65,2026-04-22 11:26:06.831532 UTC,device_2927,37.101.231.39,AU,Sydney,Region_AU_1,-78.1796,-141.6986,1
txn_3464,user_11,13.92,2026-04-13 06:48:07.496659 UTC,device_499,24.135.217.167,AU,Melbourne,Region_AU_1,-44.5925,-96.3334,1
txn_6721,user_11,229,2026-04-18 08:50:08.648037 UTC,device_2921,88.145.49.79,AU,Sydney,Region_AU_1,49.6928,36.3916,1
txn_9293,user_11,92.03,2026-04-16 11:37:09.504040 UTC,device_1538,219.61.158.75,AU,Sydney,Region_AU_1,-33.1295,103.2256,0
txn_797,user_113,24.14,2026-04-12 08:34:06.191077 UTC,device_490,139.58.192.30,AU,Brisbane,Region_AU_1,22.2712,-143.7605,0
txn_7223,user_113,33.65,2026-04-22 10:36:08.809131 UTC,device_231,114.138.253.250,AU,Sydney,Region_AU_1,-60.539,117.9546,0
txn_386,user_116,110.19,2026-04-04 17:45:06.004831 UTC,device_1528,247.191.77.166,AU,Sydney,Region_AU_1,37.7247,-56.6152,0
txn_3021,user_116,10.71,2026-04-02 06:09:07.268701 UTC,device_1886,17.229.208.88,AU,Sydney,Region_AU_1,62.5993,-85.6039,0
txn_2279,user_117,24.69,2026-04-18 16:09:06.901119 UTC,device_2627,87.172.60.111,AU,Sydney,Region_AU_1,-69.1203,-172.4602,1
